Grade,Range_Min,Mid,Range_Max,Spread,Mid_Pnt_Diff,Range_Overlap
9,156230,195287,234345,50.0,3.0,45.63
8,151679,189599,227519,50.0,3.0,45.63
7,147262,184077,220892,50.0,25.74,19.29
6,117117,146396,175676,50.0,14.08,31.49
5,102665,128331,153998,50.0,3.0,45.63
4,99675,124594,149512,50.0,3.0,45.63
3,96772,120965,145158,50.0,3.0,45.63
2,93953,117442,140930,50.0,3.0,45.63
1,91217,114021,136825,50.0,,
